id,date,tweet,retweet_count,like_count
1345302458923241473,2021-01-02 09:34:35+00:00,"Szanowni Państwo! 
W związku z ogromnym zapotrzebowaniem wsparcia narodowego programu szczepień, w najbliższych dniach uruchomimy kanał TVP Szczepionka. Głosy ekspertów, szczepienia live, dane statystyczne i wiele, wiele więcej już niebawem.
#szczepimysie #Covid",30,179
1344964039122833408,2021-01-01 11:09:49+00:00,"W Nowym Roku życzę, abyśmy jak najszybciej osiągnęli odporność populacyjną na #Covid_19
#Szczepimysię
#Dosiegoroku

PS. Po wspólnym szczepieniu z @profGrodzki zero powikłań.",17,186
1344628927638228992,2020-12-31 12:58:13+00:00,"Nie wiem czy wiecie, ale każdy, kto zaszczepi się przeciwko COVID umrze... Ci, którzy się nie zaszczepia też...
#COVID19 #Death #szczepienia #szczepimysie",0,1
1344561492407017474,2020-12-31 08:30:15+00:00,dostałam skierowanie na szczepienie przeciwko covid-19 😃💪 #szczepimysię,0,0
1344397761467346949,2020-12-30 21:39:38+00:00,"Jakie macie plany na #sylwester2020? Ja w domowym zaciszu, przeniosę się do 30 lat XXwieku, szykuje się extra zabawa 🤩

#szczepimysie #sylwester #sylwesterzTadkiem #sylwester2020 #Covid_19 #jebaćpis #Kaczyński #KACZYSTAN #kwarantannanarodowa #matura2021 #Morawiecki #niestrzelam",0,0
1344345417690046464,2020-12-30 18:11:38+00:00,"Cezary Pazura zachęca do szczepień przeciwko #Covid_19  Aktor został ambasadorem kampanii #szczepionka #szczepimysie 
Kiedy z gwiazdy zmieniasz się w czerwonego karła.
#antypolonizm #antykomunizm",23,101
1344312399424270337,2020-12-30 16:00:26+00:00,"Cezary Pazura został ambasadorem kampanii #SzczepimySię. Na początku stycznia, w spotach radiowych aktor będzie zachęcał Polaków do szczepień przeciw COVID-19 - podaje @KPRM_CIR.",4,24
1344312055977934848,2020-12-30 15:59:04+00:00,"Aktor Cezary Pazura został ambasadorem kampanii #SzczepimySię. Na początku stycznia, w spotach radiowych Pazura będzie zachęcał Polaków do szczepień przeciw COVID-19.",2,10
1344301438588112896,2020-12-30 15:16:53+00:00,"Dziś przeczytałem o ilości zakażeń wsród kadry medycznej (lekarze, pielęgniarki, położne, itd). Pielęgniarek było ~50tys, lekarzy ~20tys, wszystkich prawie 82tys. Zmarło 137 osób -&gt; śmiertelność na poziomie 0,17%. A pielegniarki młode nie są.
 #szczepimysie #covid #pandemia",0,0
1344208875034206208,2020-12-30 09:09:04+00:00,"Kiedy wykształcone i inteligentne osoby na swojej osi czasu piszą, że się nie zaszczepią bo covid to kłamstwo i narzędzie spowolnienia gospodarki, a szczepionka to broń masowej zagłady to wątpię w ludzi. 

Już wole czytać historie o zachipowaniu ludzi. 🤦‍♀️

#szczepimysie",1,31
1344049103664279553,2020-12-29 22:34:12+00:00,"Jeszcze Polska nie zginęła,
Póki się szczepimy
Co nam obcy COVID zabrał
Igłą zwyciężymy

Marsz marsz Niedzielski
Wielki zastrzyk zwycięski
Za twoim przewodem
Szczepię się z narodem

#szczepionka #szczepimysie",3,3
1344018875113992194,2020-12-29 20:34:05+00:00,"#SzczepimySię

Kto nie chce się szczepić powinien podpisać oświadczenie,
że jeśli zachoruje na Covid, to sam/sama zapłaci za 
koszty leczenia.",0,0
1343969276953321479,2020-12-29 17:17:00+00:00,"Zaszczepiłam się przeciwko COVID -19‼️
Żyje. 
Mam się dobrze. 
Nic mi nie dolega. 
Nie wszczepili mi czipa. Nie wyrósł mi ogon 😂

Szczepcie się bez obaw i bez zastanowienia‼️ Polecam‼️ #SzczepimySię #PfizerBioNTech 
#COVIDー19 
#koronawirus 
#KoronawirusWPolsce",0,8
1343939241303289858,2020-12-29 15:17:38+00:00,"Rozpoczęliśmy przygotowania do włączenia się w program szczepień przeciwko COVID-19. Zgłosiliśmy nasze punkty do #NarodowyProgramSzczepień 🇵🇱 i wkrótce przekażemy więcej informacji na temat możliwości zaszczepienia się w Corten Medic. 

#CortenSzczepi #SzczepimySię #WartoWiedzieć",0,0
1343921228113960963,2020-12-29 14:06:04+00:00,A czy ty już masz najnowsze aktualizacje Windows Defendera od Gatesa? #antyvir #szczepionka #szczepimysie #covid,0,0
